"wage" "exp" "ed"
"139" 1224.00065719972 30 16
"140" 1432.00379835555 31 16
"141" 427.998632293176 28 4
"142" 425.000353207269 29 4
"143" 399.998181160942 30 4
"144" 500.000950789808 31 4
"145" 558.000578991529 32 4
"146" 627.99989545798 33 4
"147" 627.99989545798 34 4
"148" 734.999633078657 20 14
"149" 734.999633078657 21 14
"150" 799.998617866852 22 14
"151" 834.998559750778 23 14
"152" 975.002465780217 24 14
"153" 1050.00478470175 25 14
"154" 1150.00319544355 26 14
"155" 997.996730246516 11 16
"156" 997.996730246516 12 16
"157" 1799.99650101174 13 16
"158" 2125.0062021222 14 16
"159" 2600.00851758906 15 16
"160" 3100.00808954352 16 16
"161" 2679.99444301262 17 16
"162" 230.00015894772 5 12
"163" 249.999770534544 6 12
"164" 265.000046113655 7 12
"165" 289.999732335773 8 12
"166" 309.999287782269 9 12
"167" 344.998476127546 10 12
"168" 349.998895932531 11 12
"169" 685.000795790838 8 17
"170" 719.999127353256 9 17
"171" 824.997206278618 10 17
"172" 799.998617866852 11 17
"173" 889.998698174647 12 17
"174" 1069.99579763038 13 17
"175" 1000.00472102901 14 17
"176" 649.998464123521 14 15
"177" 699.999765469656 15 15
"178" 959.996846921771 16 15
"179" 949.998114637014 17 15
"180" 1450.00168864978 18 15
"181" 1900.00158620705 19 15
"182" 1583.0046542152 20 15
"183" 410.001164525329 8 16
"184" 997.996730246516 9 16
"185" 1150.00319544355 10 16
"186" 1425.0041429046 11 16
"187" 1200.0037970747 12 16
"188" 1057.00001493516 13 16
"189" 1499.99941936466 14 16
"190" 839.998410858121 26 12
"191" 809.996559397455 27 12
"192" 799.998617866852 28 12
"193" 850.003102943956 29 12
"194" 838.001591797526 30 12
"195" 899.99571301833 31 12
"196" 850.003102943956 32 12
"197" 997.996730246516 31 14
"198" 997.996730246516 32 14
"199" 1166.99809512314 33 14
"200" 1949.9909294834 34 14
"201" 2149.9932895988 35 14
"202" 1760.00160506406 36 14
"203" 1919.9991071583 37 14
"204" 490.997973257073 17 12
"205" 544.000409710521 18 12
"206" 561.998960360707 19 12
"207" 580.001099947573 20 12
"208" 653.001874585181 21 12
"209" 718.99902379923 22 12
"210" 768.000204942615 23 12
"211" 997.996730246516 22 17
"212" 997.996730246516 23 17
"213" 1499.99941936466 24 17
"214" 1400.00347815963 25 17
"215" 1780.00241495233 26 17
"216" 1900.00158620705 27 17
"217" 2024.98991645531 28 17
"218" 997.996730246516 30 16
"219" 997.996730246516 31 16
"220" 1749.99813289527 32 16
"221" 1649.99906462413 33 16
"222" 2009.99999788323 34 16
"223" 3130.00537254257 35 16
"224" 2299.98987561263 36 16
"225" 997.996730246516 14 16
"226" 997.996730246516 15 16
"227" 1300.00059351562 16 16
"228" 1450.00168864978 17 16
"229" 1395.00042651369 18 16
"230" 1600.00174683636 19 16
"231" 1749.99813289527 20 16
"232" 316.999437681401 45 8
"233" 351.001325565984 46 8
"234" 338.001387329587 47 8
"235" 382.998089148579 48 8
"236" 516.998513881278 49 8
"237" 496.002020348551 50 8
"238" 397.001476569931 51 8
"239" 674.998183663486 8 13
"240" 743.002938780517 9 13
"241" 600.000206870348 10 13
"242" 855.99967802273 11 13
"243" 978.998391963951 12 13
"244" 1110.00522333221 13 13
"245" 1125.00189603326 14 13
"246" 749.997595106089 15 10
"247" 874.996599443695 16 10
"248" 1250.00146213042 17 10
"249" 1198.00146314777 18 10
"250" 1250.00146213042 19 10
"251" 1000.00472102901 20 10
"252" 1313.00016504044 21 10
"253" 997.996730246516 12 14
"254" 846.999411629914 13 14
"255" 1100.00499534623 14 14
"256" 1250.00146213042 15 14
"257" 1265.00328753482 16 14
"258" 1454.99828367487 17 14
"259" 1651.00587109831 18 14
"260" 425.000353207269 10 12
"261" 425.000353207269 11 12
"262" 425.000353207269 12 12
"263" 583.001640359971 13 12
"264" 623.999770137519 14 12
"265" 698.999481178759 15 12
"266" 679.998097246959 16 12
"267" 649.998464123521 6 13
"268" 724.998800231354 7 13
"269" 649.998464123521 8 13
"270" 685.000795790838 9 13
"271" 899.99571301833 10 13
"272" 879.998321426019 11 13
"273" 904.995525962626 12 13
"274" 576.998692226309 30 8
"275" 665.001967966769 31 8
"276" 722.00350972791 32 8
"277" 807.998336716667 33 8
"278" 886.995580702412 34 8
"279" 1000.00472102901 35 8
"280" 1568.99411197292 36 8
"281" 997.996730246516 20 16
"282" 997.996730246516 21 16
"283" 1600.00174683636 22 16
"284" 1792.00431239069 23 16
"285" 1949.9909294834 24 16
"286" 1859.99671392742 25 16
"287" 2309.99352388749 26 16
"288" 501.999939914756 30 12
"289" 660.997461862909 31 12
"290" 721.00062201782 32 12
"291" 804.000587580326 33 12
"292" 892.003449745303 34 12
"293" 1016.99756322153 35 12
"294" 1125.00189603326 36 12
"295" 799.998617866852 5 16
"296" 938.000047832163 6 16
"297" 1000.00472102901 7 16
"298" 1100.00499534623 8 16
"299" 1250.00146213042 9 16
"300" 1649.99906462413 10 16
"301" 1699.99399893527 11 16
"302" 997.996730246516 7 17
"303" 997.996730246516 8 17
"304" 1350.00017356617 9 17
"305" 1499.99941936466 10 17
"306" 1699.99399893527 11 17
"307" 1796.00494105038 12 17
"308" 1999.99508092189 13 17
"309" 505.000793216566 13 13
"310" 563.000209357393 14 13
"311" 550.000946976231 15 13
"312" 649.998464123521 16 13
"313" 760.001190707847 17 13
"314" 798.001119235837 18 13
"315" 774.997652254713 19 13
"316" 458.000373675856 6 12
"317" 509.001009576785 7 12
"318" 559.000294506377 8 12
"319" 558.000578991529 9 12
"320" 644.000820389319 10 12
"321" 739.999862213333 11 12
"322" 699.999765469656 12 12
"323" 997.996730246516 26 14
"324" 997.996730246516 27 14
"325" 1150.00319544355 28 14
"326" 1200.0037970747 29 14
"327" 1350.00017356617 30 14
"328" 1234.00468369867 31 14
"329" 1200.0037970747 32 14
"330" 997.996730246516 26 16
"331" 997.996730246516 27 16
"332" 1250.00146213042 28 16
"333" 1375.00136111225 29 16
"334" 1250.00146213042 30 16
"335" 1499.99941936466 31 16
"336" 1699.99399893527 32 16
"337" 997.996730246516 31 16
"338" 997.996730246516 32 16
"339" 1999.99508092189 33 16
"340" 2156.00014654572 34 16
"341" 2212.99039548787 35 16
"342" 2199.99419344557 36 16
"343" 2491.99780727186 37 16
"344" 529.00082954761 31 12
"345" 600.997034351658 32 12
"346" 654.001732149286 33 12
"347" 704.001157265689 34 12
"348" 776.999727764385 35 12
"349" 853.000385989685 36 12
"350" 943.003505483165 37 12
"351" 997.996730246516 31 17
"352" 997.996730246516 32 17
"353" 1999.99508092189 33 17
"354" 2099.99449021305 34 17
"355" 2500.00997287916 35 17
"356" 2600.00851758906 36 17
"357" 2750.01047570326 37 17
"358" 997.996730246516 25 16
"359" 997.996730246516 26 16
"360" 1400.00347815963 27 16
"361" 1250.00146213042 28 16
"362" 1749.99813289527 29 16
"363" 1999.99508092189 30 16
"364" 2099.99449021305 31 16
"365" 623.999770137519 13 13
"366" 997.996730246516 14 13
"367" 1050.00478470175 15 13
"368" 1050.00478470175 16 13
"369" 1165.00423361792 17 13
"370" 1350.00017356617 18 13
"371" 1350.00017356617 19 13
"372" 673.003143156438 13 11
"373" 727.999236913213 14 11
"374" 799.998617866852 15 11
"375" 850.003102943956 16 11
"376" 989.995106314746 17 11
"377" 1185.0023065227 18 11
"378" 1212.0034340502 19 11
"379" 775.998044340286 32 8
"380" 944.003619165585 33 8
"381" 949.998114637014 34 8
"382" 1016.00139381231 35 8
"383" 1142.99809828411 36 8
"384" 1253.00506852548 37 8
"385" 1350.00017356617 38 8
"386" 450.00108775735 23 12
"387" 474.997718089027 24 12
"388" 563.000209357393 25 12
"389" 563.000209357393 26 12
"390" 624.9989689156 27 12
"391" 724.998800231354 28 12
"392" 688.000799502324 29 12
"393" 419.998021268147 21 11
"394" 539.002387285337 22 11
"395" 410.001164525329 23 11
"396" 718.99902379923 24 11
"397" 699.999765469656 25 11
"398" 686.997051249574 26 11
"399" 552.001078456097 27 11
"400" 699.999765469656 37 14
"401" 799.998617866852 38 14
"402" 809.996559397455 39 14
"403" 1000.00472102901 40 14
"404" 1100.00499534623 41 14
"405" 1290.00322841516 42 14
"406" 1250.00146213042 43 14
"407" 997.996730246516 26 17
"408" 997.996730246516 27 17
"409" 1549.99967463443 28 17
"410" 1699.99399893527 29 17
"411" 1775.007629127 30 17
"412" 1999.99508092189 31 17
"413" 2099.99449021305 32 17
"414" 393.999641736777 18 11
"415" 419.998021268147 19 11
"416" 419.998021268147 20 11
"417" 419.998021268147 21 11
"418" 455.001174378833 22 11
"419" 501.999939914756 23 11
"420" 478.999713840257 24 11
"421" 885.002084170436 24 17
"422" 980.997587169346 25 17
"423" 979.997479771915 26 17
"424" 1062.99959782259 27 17
"425" 949.998114637014 28 17
"426" 843.997894563638 29 17
"427" 1250.00146213042 30 17
"428" 721.00062201782 7 16
"429" 929.99573489279 8 16
"430" 1004.99716540836 9 16
"431" 1052.00169025222 10 16
"432" 1018.00488935329 11 16
"433" 1391.00251503676 12 16
"434" 1440.00231470099 13 16
"435" 997.996730246516 11 17
"436" 997.996730246516 12 17
"437" 1799.99650101174 13 17
"438" 1900.00158620705 14 17
"439" 1855.00004629795 15 17
"440" 2273.00949240299 16 17
"441" 1582.00767536436 17 17
"442" 576.001347440743 34 12
"443" 614.998605300573 35 12
"444" 649.998464123521 36 12
"445" 689.99889766288 37 12
"446" 699.999765469656 38 12
"447" 799.998617866852 39 12
"448" 899.99571301833 40 12
"449" 703.002185060499 30 8
"450" 752.002764394802 31 8
"451" 831.00017047514 32 8
"452" 879.998321426019 33 8
"453" 1030.99537698888 34 8
"454" 1135.00234954834 35 8
"455" 1148.00392974905 36 8
"456" 549.000855611934 20 8
"457" 600.000206870348 21 8
"458" 676.999138238938 22 8
"459" 743.002938780517 23 8
"460" 802.001116491832 24 8
"461" 872.000502351514 25 8
"462" 949.998114637014 26 8
"463" 390.001271743834 28 12
"464" 415.000614104714 29 12
"465" 469.998733490777 30 12
"466" 500.000950789808 31 12
"467" 550.000946976231 32 12
"468" 630.000113787096 33 12
"469" 649.998464123521 34 12
"470" 638.001095226964 34 12
"471" 670.001532703795 35 12
"472" 712.001487076226 36 12
"473" 787.001378496711 37 12
"474" 859.000926016024 38 12
"475" 899.99571301833 39 12
"476" 1050.00478470175 40 12
"477" 605.00093289206 27 13
"478" 704.001157265689 28 13
"479" 749.997595106089 29 13
"480" 749.997595106089 30 13
"481" 815.001537710148 31 13
"482" 929.99573489279 32 13
"483" 1022.9951244431 33 13
"484" 649.998464123521 8 16
"485" 649.998464123521 9 16
"486" 749.997595106089 10 16
"487" 899.99571301833 11 16
"488" 1000.00472102901 12 16
"489" 1000.00472102901 13 16
"490" 1300.00059351562 14 16
"491" 809.996559397455 7 16
"492" 899.99571301833 8 16
"493" 989.995106314746 9 16
"494" 1050.00478470175 10 16
"495" 1250.00146213042 11 16
"496" 1400.00347815963 12 16
"497" 1638.99741244091 13 16
"498" 649.998464123521 11 17
"499" 749.997595106089 12 17
"500" 749.997595106089 13 17
"501" 799.998617866852 14 17
"502" 949.998114637014 15 17
"503" 1000.00472102901 16 17
"504" 1100.00499534623 17 17
"505" 640.001167134685 13 16
"506" 776.999727764385 14 16
"507" 840.998603963909 15 16
"508" 909.995814454711 16 16
"509" 1006.99910103281 17 16
"510" 947.000858753173 18 16
"511" 1227.99741051043 19 16
"512" 224.999909504024 3 13
"513" 249.999770534544 4 13
"514" 269.999471070957 5 13
"515" 299.999257604058 6 13
"516" 319.999681346152 7 13
"517" 359.998548680869 8 13
"518" 349.998895932531 9 13
"519" 289.999732335773 23 8
"520" 399.998181160942 24 8
"521" 439.9979201635 25 8
"522" 480.001870130714 26 8
"523" 520.999978246496 27 8
"524" 624.9989689156 28 8
"525" 630.000113787096 29 8
"526" 175.000704564803 9 13
"527" 277.999690394175 10 13
"528" 344.998476127546 11 13
"529" 388.001808230383 12 13
"530" 415.000614104714 13 13
"531" 469.998733490777 14 13
"532" 516.001669014213 15 13
"533" 249.999770534544 10 10
"534" 299.999257604058 11 10
"535" 495.001107529737 12 10
"536" 427.998632293176 13 10
"537" 492.00063148619 14 10
"538" 474.001269518234 15 10
"539" 534.002221999879 16 10
"540" 299.999257604058 37 12
"541" 325.001565746607 38 12
"542" 325.001565746607 39 12
"543" 474.997718089027 40 12
"544" 500.000950789808 41 12
"545" 500.000950789808 42 12
"546" 550.000946976231 43 12
"547" 228.000996600566 10 8
"548" 237.999839666243 11 8
"549" 283.000877968326 12 8
"550" 295.001369882934 13 8
"551" 349.998895932531 14 8
"552" 384.998716301343 15 8
"553" 425.000353207269 16 8
"554" 850.003102943956 5 17
"555" 913.003761024541 6 17
"556" 779.996942652755 7 17
"557" 1200.0037970747 8 17
"558" 1186.99478360979 9 17
"559" 1080.00397427959 10 17
"560" 1425.0041429046 11 17
"561" 574.999976541524 6 16
"562" 565.002411907409 7 16
"563" 624.9989689156 8 16
"564" 600.000206870348 9 16
"565" 1385.00634522384 10 16
"566" 1569.99858960314 11 16
"567" 1303.99772779946 12 16
"568" 749.997595106089 22 12
"569" 784.997081546235 23 12
"570" 910.997360600002 24 12
"571" 980.997587169346 25 12
"572" 1051.00276321196 26 12
"573" 1025.99689560498 27 12
"574" 1170.9960612337 28 12
"575" 455.99871886324 12 12
"576" 440.997849933182 13 12
"577" 540.000464638707 14 12
"578" 600.000206870348 15 12
"579" 658.997670766964 16 12
"580" 733.003150523855 17 12
"581" 709.003171695816 18 12
"582" 724.998800231354 38 17
"583" 749.997595106089 39 17
"584" 749.997595106089 40 17
"585" 603.001690375876 41 17
"586" 874.996599443695 42 17
"587" 1018.00488935329 43 17
"588" 812.99909793813 44 17
"589" 474.997718089027 15 7
"590" 506.001685343349 16 7
"591" 556.000948397485 17 7
"592" 636.000913716338 18 7
"593" 674.998183663486 19 7
"594" 749.997595106089 20 7
"595" 787.001378496711 21 7
"596" 500.000950789808 3 12
"597" 824.997206278618 4 12
"598" 624.9989689156 5 12
"599" 778.002704193911 6 12
"600" 779.996942652755 7 12
"601" 958.00212870628 8 12
"602" 774.997652254713 9 12
"603" 693.998639409611 12 14
"604" 737.001553458096 13 14
"605" 850.998188585986 14 14
"606" 958.00212870628 15 14
"607" 1052.00169025222 16 14
"608" 1112.00503202208 17 14
"609" 1230.99738266972 18 14
"610" 583.999426028598 5 15
"611" 600.000206870348 6 15
"612" 706.003362337778 7 15
"613" 838.001591797526 8 15
"614" 958.00212870628 9 15
"615" 1280.00594316431 10 15
"616" 1440.00231470099 11 15
"617" 425.000353207269 11 12
"618" 413.00099410829 12 12
"619" 550.000946976231 13 12
"620" 589.998503231037 14 12
"621" 779.996942652755 15 12
"622" 799.998617866852 16 12
"623" 845.002849887994 17 12
"624" 500.000950789808 1 12
"625" 500.000950789808 2 12
"626" 550.000946976231 3 12
"627" 600.000206870348 4 12
"628" 500.000950789808 5 12
"629" 600.000206870348 6 12
"630" 774.997652254713 7 12
"631" 568.999752982172 10 7
"632" 610.000636128244 11 7
"633" 834.998559750778 12 7
"634" 867.000887131724 13 7
"635" 949.998114637014 14 7
"636" 1100.00499534623 15 7
"637" 1300.00059351562 16 7
"638" 649.998464123521 5 14
"639" 724.998800231354 6 14
"640" 839.998410858121 7 14
"641" 909.995814454711 8 14
"642" 1055.00417157302 9 14
"643" 666.99996937428 10 14
"644" 813.999702073986 11 14
"645" 399.998181160942 33 7
"646" 481.99801703169 34 7
"647" 481.99801703169 35 7
"648" 600.000206870348 36 7
"649" 666.000219420137 37 7
"650" 739.999862213333 38 7
"651" 1000.00472102901 39 7
"652" 889.998698174647 11 17
"653" 940.000117251801 12 17
"654" 965.001832209618 13 17
"655" 1050.00478470175 14 17
"656" 1207.99833477948 15 17
"657" 1288.00527222717 16 17
"658" 1288.00527222717 17 17
"659" 535.997769670691 37 8
"660" 560.001801114547 38 8
"661" 649.998464123521 39 8
"662" 668.001220078635 40 8
"663" 725.999989237198 41 8
"664" 867.000887131724 42 8
"665" 906.997777748293 43 8
"666" 997.996730246516 29 16
"667" 997.996730246516 30 16
"668" 1549.99967463443 31 16
"669" 1350.00017356617 32 16
"670" 1849.99830156689 33 16
"671" 2156.00014654572 34 16
"672" 2399.99036081287 35 16
"673" 450.00108775735 30 11
"674" 506.001685343349 31 11
"675" 552.001078456097 32 11
"676" 613.996974125111 33 11
"677" 674.998183663486 34 11
"678" 755.998959608989 35 11
"679" 926.996694726345 36 11
"680" 834.998559750778 16 17
"681" 989.995106314746 17 17
"682" 1079.00003748647 18 17
"683" 1186.99478360979 19 17
"684" 1300.00059351562 20 17
"685" 1271.00092631854 21 17
"686" 1579.99980088681 22 17
"687" 323.998860885288 12 12
"688" 338.999963598029 13 12
"689" 346.000423830287 14 12
"690" 386.001015387911 15 12
"691" 431.000823166071 16 12
"692" 488.002241948814 17 12
"693" 511.00020940595 18 12
"694" 399.998181160942 8 11
"695" 450.00108775735 9 11
"696" 600.000206870348 10 11
"697" 600.000206870348 11 11
"698" 649.998464123521 12 11
"699" 649.998464123521 13 11
"700" 699.999765469656 14 11
"701" 809.996559397455 29 14
"702" 894.996672150192 30 14
"703" 986.999961079154 31 14
"704" 1062.99959782259 32 14
"705" 1018.00488935329 33 14
"706" 1313.00016504044 34 14
"707" 1302.99403601998 35 14
"708" 799.998617866852 3 17
"709" 899.99571301833 4 17
"710" 1000.00472102901 5 17
"711" 1150.00319544355 6 17
"712" 1150.00319544355 7 17
"713" 1499.99941936466 8 17
"714" 1699.99399893527 9 17
"715" 550.000946976231 14 16
"716" 724.998800231354 15 16
"717" 749.997595106089 16 16
"718" 1000.00472102901 17 16
"719" 1059.99556167681 18 16
"720" 1174.99597377744 19 16
"721" 1050.00478470175 20 16
"722" 309.999287782269 17 7
"723" 334.99982183865 18 7
"724" 365.000965943669 19 7
"725" 379.999523966534 20 7
"726" 460.00161484059 21 7
"727" 460.00161484059 22 7
"728" 450.00108775735 23 7
"729" 789.997673089184 11 14
"730" 936.996924547645 12 14
"731" 935.003245120709 13 14
"732" 949.998114637014 14 14
"733" 1091.00001545612 15 14
"734" 1160.00547045642 16 14
"735" 1475.99851638397 17 14
"736" 580.001099947573 6 12
"737" 649.998464123521 7 12
"738" 714.998181976096 8 12
"739" 779.996942652755 9 12
"740" 899.99571301833 10 12
"741" 727.002560837642 11 12
"742" 869.997205870179 12 12
"743" 997.996730246516 31 12
"744" 997.996730246516 32 12
"745" 1250.00146213042 33 12
"746" 1250.00146213042 34 12
"747" 1499.99941936466 35 12
"748" 1525.00047421177 36 12
"749" 1799.99650101174 37 12
"750" 516.001669014213 15 12
"751" 500.000950789808 16 12
"752" 649.998464123521 17 12
"753" 662.996691515028 18 12
"754" 746.003282255215 19 12
"755" 850.003102943956 20 12
"756" 1250.00146213042 21 12
"757" 850.003102943956 25 12
"758" 909.995814454711 26 12
"759" 965.001832209618 27 12
"760" 1220.00471198179 28 12
"761" 1400.00347815963 29 12
"762" 1480.00389720305 30 12
"763" 1600.00174683636 31 12
"764" 670.001532703795 37 12
"765" 699.999765469656 38 12
"766" 970.003810654979 39 12
"767" 699.999765469656 40 12
"768" 1150.00319544355 41 12
"769" 929.001171642683 42 12
"770" 850.003102943956 43 12
"771" 450.00108775735 6 13
"772" 552.001078456097 7 13
"773" 634.996825711075 8 13
"774" 799.998617866852 9 13
"775" 889.998698174647 10 13
"776" 929.99573489279 11 13
"777" 1062.00084768674 12 13
"778" 997.996730246516 19 13
"779" 997.996730246516 20 13
"780" 1225.00474936014 21 13
"781" 1409.99297346269 22 13
"782" 1549.99967463443 23 13
"783" 1549.99967463443 24 13
"784" 1480.00389720305 25 13
"785" 997.996730246516 27 17
"786" 997.996730246516 28 17
"787" 1300.00059351562 29 17
"788" 1729.00261825557 30 17
"789" 1919.9991071583 31 17
"790" 1591.00313691767 32 17
"791" 2335.00660781885 33 17
"792" 539.002387285337 29 17
"793" 578.998565487013 30 17
"794" 623.999770137519 31 17
"795" 623.002168799192 32 17
"796" 609.001054965586 33 17
"797" 583.999426028598 34 17
"798" 644.000820389319 35 17
"799" 807.998336716667 14 12
"800" 869.997205870179 15 12
"801" 1000.00472102901 16 12
"802" 1140.99960080744 17 12
"803" 1125.00189603326 18 12
"804" 1376.99655925494 19 12
"805" 1355.99394072708 20 12
"806" 846.000541773309 14 14
"807" 924.996542807467 15 14
"808" 899.99571301833 16 14
"809" 1040.00416818752 17 14
"810" 1107.99793102552 18 14
"811" 1256.00333213707 19 14
"812" 1173.99765154679 20 14
"813" 719.999127353256 14 17
"814" 600.000206870348 15 17
"815" 749.997595106089 16 17
"816" 819.996440995918 17 17
"817" 869.997205870179 18 17
"818" 1027.99954149657 19 17
"819" 1150.00319544355 20 17
"820" 724.998800231354 25 9
"821" 799.998617866852 26 9
"822" 824.997206278618 27 9
"823" 874.996599443695 28 9
"824" 949.998114637014 29 9
"825" 1009.00502447572 30 9
"826" 1095.99729561461 31 9
"827" 997.996730246516 16 17
"828" 997.996730246516 17 17
"829" 3249.99910519783 18 17
"830" 3749.99580388563 19 17
"831" 2724.00907837327 20 17
"832" 3364.01338507032 21 17
"833" 5100.02132461126 22 17
"834" 515.00159616065 14 12
"835" 600.000206870348 15 12
"836" 1000.00472102901 16 12
"837" 1000.00472102901 17 12
"838" 873.003879760648 18 12
"839" 959.996846921771 19 12
"840" 1000.00472102901 20 12
"841" 997.996730246516 13 16
"842" 997.996730246516 14 16
"843" 1749.99813289527 15 16
"844" 1849.99830156689 16 16
"845" 1999.99508092189 17 16
"846" 1821.99985821214 18 16
"847" 2099.99449021305 19 16
"848" 749.997595106089 15 12
"849" 823.999563354711 16 12
"850" 914.996280280459 17 12
"851" 1071.00206655245 18 12
"852" 1019.00302315053 19 12
"853" 1100.00499534623 20 12
"854" 1100.00499534623 21 12
"855" 550.000946976231 27 8
"856" 699.999765469656 28 8
"857" 709.996471283663 29 8
"858" 850.003102943956 30 8
"859" 1031.9959276932 31 8
"860" 1050.00478470175 32 8
"861" 1100.00499534623 33 8
"862" 989.995106314746 28 16
"863" 997.996730246516 29 16
"864" 1300.00059351562 30 16
"865" 1499.99941936466 31 16
"866" 1600.00174683636 32 16
"867" 1799.99650101174 33 16
"868" 1799.99650101174 34 16
"869" 502.999914439838 14 12
"870" 545.002291913351 15 12
"871" 588.001794638346 16 12
"872" 666.000219420137 17 12
"873" 749.997595106089 18 12
"874" 886.002701768018 19 12
"875" 1009.00502447572 20 12
"876" 611.998603104051 3 12
"877" 657.996755195942 4 12
"878" 747.997772478408 5 12
"879" 817.000739499712 6 12
"880" 949.998114637014 7 12
"881" 624.9989689156 8 12
"882" 312.999001362525 9 12
"883" 929.99573489279 28 14
"884" 997.996730246516 29 14
"885" 1190.00168253556 30 14
"886" 1210.00527731666 31 14
"887" 1600.00174683636 32 14
"888" 1699.99399893527 33 14
"889" 1559.99828362095 34 14
"890" 249.999770534544 27 12
"891" 363.998592182949 28 12
"892" 576.001347440743 29 12
"893" 649.998464123521 30 12
"894" 697.003198707254 31 12
"895" 778.002704193911 32 12
"896" 865.00042650403 33 12
"897" 433.000983776039 31 8
"898" 458.000373675856 32 8
"899" 500.000950789808 33 8
"900" 530.001586532906 34 8
"901" 560.001801114547 35 8
"902" 628.99920953592 36 8
"903" 658.997670766964 37 8
"904" 654.001732149286 31 8
"905" 682.000233350799 32 8
"906" 740.999536655744 33 8
"907" 824.997206278618 34 8
"908" 935.003245120709 35 8
"909" 1063.99928722495 36 8
"910" 1150.00319544355 37 8
"911" 654.001732149286 30 8
