dealer;izby;rozloha;resale;cena
Owner;2;1100.151745;Yes;29
Dealer;3;2293.077091;Yes;210
Dealer;2;1146.480331;Yes;88.6
Dealer;4;2224.059764;Yes;780
Dealer;2;759.8784195;Yes;30
Owner;4;2260.251857;Yes;140
Dealer;3;767.0182167;Yes;240
Owner;4;2500;Yes;160
Dealer;4;2286.236854;Yes;100
Owner;2;1150.086256;Yes;60
Dealer;2;1004.932182;Yes;81.5
Owner;2;800;Yes;34
Dealer;3;993.75;Yes;31.8
Dealer;2;1298.139334;Yes;30
Dealer;2;996.797438;Yes;24.9
Owner;2;985.0194952;Yes;48
Dealer;3;1118.75;Yes;53.7
Dealer;2;889.8305085;Yes;42
Owner;3;2738.22563;Yes;150
Dealer;4;1725.490196;No;440
Dealer;3;2488.004265;Yes;140
Dealer;3;1200.082764;Yes;58
Dealer;2;1584.283904;Yes;100
Owner;2;900;Yes;18
Dealer;2;1193.440032;Yes;60.4
Owner;2;1487.357462;Yes;30
Owner;2;989.9029895;Yes;50
Dealer;2;1155.020213;Yes;140
Owner;2;949.893137;Yes;80
Owner;2;875;Yes;49
Dealer;2;853.3611982;Yes;24.5
Owner;1;483.0917874;Yes;18
Dealer;2;800;Yes;95
Owner;2;802.0415603;Yes;22
Dealer;2;610.0660905;Yes;48
Owner;3;1680.107527;Yes;75
Owner;2;1150.136038;Yes;93
Owner;3;1550.114497;Yes;88
Owner;5;1699.834163;Yes;82
Owner;3;1600.170685;Yes;75
Owner;1;600.0566091;Yes;21.2
Dealer;2;1429.200617;Yes;64.9
Owner;2;1115.137998;Yes;80
Dealer;4;2750.929368;Yes;74
Owner;3;1811.196487;Yes;99
Owner;2;1045.036079;Yes;42
Dealer;3;3433.996566;Yes;340
Owner;3;1298.219585;Yes;70
Owner;2;1109.165207;Yes;38
Dealer;4;1304.034182;No;470
Dealer;2;1041.195111;Yes;46
Dealer;3;2135.748916;Yes;83.7
Owner;3;1850.180505;Yes;82
Dealer;3;1665.080875;Yes;70
Owner;2;398.2621289;Yes;11
Owner;2;1005.025126;Yes;48
Dealer;4;4900.959771;Yes;240
Dealer;2;1294.016156;Yes;330
Dealer;3;1536.806516;Yes;100
Owner;2;1123.188406;Yes;62
Dealer;2;800.1939864;Yes;16.5
Dealer;4;2655.807365;Yes;300
Dealer;3;1513.775356;Yes;100
Owner;3;1280;Yes;48
Owner;1;410.0678733;Yes;14.5
Dealer;4;3429.355281;Yes;100
Dealer;2;890.0451869;Yes;65
Owner;2;977.7082519;Yes;25
Dealer;2;1099.855282;Yes;38
Owner;2;1050.241272;Yes;37
Dealer;3;1400.241838;Yes;57.9
Dealer;3;1740.139211;Yes;180
Dealer;2;1149.131767;Yes;180
Dealer;2;650.1950585;Yes;20
Owner;2;1355.01355;Yes;85
Dealer;3;1800.072003;Yes;150
Dealer;2;907.6305221;Yes;33.9
Dealer;3;1636.296021;Yes;88
Owner;2;900.2520706;Yes;25
Owner;2;1318.044023;Yes;100
Dealer;3;1949.586451;Yes;99
Dealer;3;1643.36522;Yes;67
Dealer;3;1233.045623;Yes;210
Dealer;1;655.0802139;Yes;49
Owner;2;1180.173092;Yes;75
Owner;3;1200.087279;Yes;55
Dealer;4;6974.645114;Yes;1700
Owner;4;2700.075602;Yes;250
Owner;2;850.0991782;Yes;30
Dealer;4;2636.296531;Yes;250
Owner;2;900.0163639;Yes;55
Dealer;4;2472.952087;Yes;160
Dealer;2;904.0656205;Yes;50.7
Dealer;1;265.0033933;Yes;82
Dealer;3;1570.306924;Yes;110
Dealer;2;955.4140127;Yes;150
Dealer;2;1000;Yes;60
Dealer;4;2494.747899;Yes;95
Owner;2;1150.130348;Yes;75
Dealer;2;1210.136674;Yes;85
Dealer;2;1365.001365;Yes;200
Dealer;2;499.6366279;No;110
Dealer;2;1050.144395;Yes;40
Owner;1;476.0204689;Yes;40
Dealer;2;985.452839;Yes;21
Dealer;2;1045.296167;Yes;24
Dealer;2;1301.89498;Yes;90
Owner;2;2000;Yes;38
Dealer;4;4465.709729;Yes;280
Dealer;2;1192;Yes;59.6
Dealer;3;1846.153846;No;120
Dealer;1;448.5310608;Yes;120
Owner;2;750.0604887;Yes;31
Dealer;2;1060.070671;Yes;72
Dealer;3;1415.09434;Yes;79.5
Dealer;2;1160.062565;Yes;89
Dealer;3;1690.024732;Yes;410
Owner;3;1672.762741;Yes;68.6
Owner;2;1315.265046;Yes;33
Dealer;1;650.026001;Yes;50
Owner;1;540.1755571;Yes;16
Dealer;3;1830.065359;Yes;98
Dealer;3;1575.157516;Yes;70
Dealer;3;1530;Yes;76.5
Owner;2;619.6377502;Yes;26
Owner;4;2200;Yes;110
Dealer;3;1757.188498;Yes;77
Dealer;2;1087.885617;Yes;140
Owner;2;1199.862873;Yes;70
Owner;2;1265.035255;Yes;61
Dealer;2;676.0453302;Yes;17.3
Owner;2;800;Yes;42
Owner;2;750.0750075;Yes;25
Dealer;2;1500;No;150
Dealer;3;1814.285714;Yes;88.9
Dealer;3;1195.652174;Yes;110
Dealer;3;1395.032324;Yes;41
Owner;2;850.1594049;Yes;24
Dealer;2;909.4339623;Yes;48.2
Owner;2;910.0937672;Yes;33
Dealer;3;1850.070303;Yes;250
Dealer;3;2069.857697;Yes;160
Dealer;2;820.0082001;Yes;140
Dealer;2;1241.80752;Yes;36
Dealer;3;1014.120668;No;79
Dealer;4;2302.158273;Yes;160
Dealer;2;900.0782677;Yes;69
Builder;2;898.5074627;No;30.1
Dealer;3;2235.294118;Yes;190
Dealer;3;1350;Yes;81
Dealer;2;1100.110011;Yes;70
Dealer;1;612.1199755;Yes;30
Owner;2;1100.352113;Yes;25
Dealer;5;5194.805195;Yes;400
Dealer;3;1475.256769;Yes;79
Dealer;4;2780.191138;Yes;160
Builder;1;300.0260892;No;11.5
Owner;2;1000;Yes;50
Dealer;2;1532.720245;Yes;230
Dealer;2;995.8314034;No;21.5
Dealer;3;1646.706587;No;110
Dealer;4;2350.965575;Yes;56
Owner;3;534.061239;Yes;45
Dealer;2;1100;Yes;110
Dealer;3;1968.888889;Yes;88.6
Dealer;3;2196.354052;Yes;100
Dealer;4;2400;Yes;300
Dealer;2;1650.252861;Yes;62
Dealer;2;632.0572845;No;45.9
Owner;2;1034.965035;Yes;37
Dealer;2;965.0439631;Yes;90
Builder;2;600.5495224;No;45.9
Dealer;2;984.8484848;Yes;130
Dealer;3;1700.060716;Yes;420
Dealer;1;546.0145604;No;58.5
Dealer;2;1195.499297;Yes;17
Dealer;3;1677.468547;Yes;220
Dealer;3;1699.716714;Yes;48
Dealer;2;1075.027996;Yes;48
Dealer;1;485.790072;No;64.1
Owner;2;929.8998569;Yes;52
Dealer;3;1438.021283;Yes;600
Dealer;5;5299.954894;Yes;470
Dealer;2;1020.181859;Yes;46
Owner;2;1070.135002;Yes;65
Owner;2;2400.384061;Yes;50
Owner;3;1767.388826;Yes;77.5
Builder;1;524;No;26.2
Dealer;2;923.7875289;Yes;120
Dealer;3;1657.275439;Yes;100
Dealer;2;680;Yes;170
Owner;2;1100.478469;Yes;23
Dealer;3;1701.694915;No;50.2
Owner;1;451.0309278;Yes;14
Dealer;3;2727.856226;Yes;85
Owner;2;1000;Yes;30
Dealer;3;1790.18976;Yes;100
Owner;2;1100.352113;Yes;25
Dealer;2;1232.162459;Yes;44.9
Dealer;1;497.988891;Yes;26
Owner;3;1726.017442;Yes;95
Dealer;3;1320.052802;Yes;110
Owner;2;990.0990099;Yes;25
Dealer;1;675.0441375;Yes;65
Owner;2;674.0361283;Yes;25
Dealer;1;775.1114886;Yes;36.5
Dealer;2;718.1042049;Yes;180
Dealer;4;3200;Yes;180
Owner;2;945.1795841;Yes;30
Dealer;2;1089.028042;Yes;160
Dealer;2;942.1518749;Yes;50
Dealer;2;1370;Yes;82.2
Owner;2;1265.111049;Yes;90
Dealer;3;1394.31121;Yes;100
Dealer;2;800;Yes;27
Dealer;3;1505.144771;Yes;62.9
Owner;3;1067.270375;Yes;33
Owner;3;1400.059577;Yes;94
Dealer;1;728.9473684;Yes;27.7
Dealer;3;1293.103448;No;37.5
Builder;3;106469.0027;No;9480
Dealer;3;2939.624633;Yes;390
Dealer;2;1431.068385;Yes;65.5
Owner;3;1350.063532;Yes;85
Owner;1;750.1630789;Yes;23
Dealer;3;1170.074459;Yes;99
Owner;2;1121.076233;Yes;45
Dealer;4;1904.761905;Yes;100
Dealer;4;7054.132802;Yes;460
Dealer;2;950.0285009;Yes;150
Owner;2;969.9321048;Yes;40
Dealer;1;636.0078278;Yes;52
Dealer;4;4578.507945;Yes;340
Owner;1;700.0259269;Yes;27
Dealer;3;1859.637775;Yes;230
Owner;3;1700.186606;Yes;82
Dealer;3;1847.187238;No;110
Dealer;1;509.5541401;No;40
Dealer;3;1427.424391;Yes;160
Owner;2;715.0518413;Yes;20
Owner;3;1393.214227;Yes;85
Owner;2;900.3215434;Yes;22.4
Dealer;2;1000;Yes;120
Owner;2;800;Yes;35
Dealer;1;445.0304928;Yes;54
Owner;2;1125.175809;Yes;56
Dealer;2;1015.113918;Yes;90
Owner;2;1200.417537;Yes;23
Dealer;1;1060.147122;Yes;49
Owner;3;1654.846336;Yes;70
Dealer;3;1175.121811;Yes;41
Owner;1;412.0213282;Yes;8.5
Dealer;3;1877.435352;Yes;53
Dealer;2;1150.121065;Yes;38
Owner;2;910.0529101;Yes;43
Builder;2;1080;No;32.4
Dealer;3;1902.843071;Yes;170
Owner;1;850.4606662;Yes;12
Dealer;2;1051.223242;Yes;110
Dealer;2;945.0617925;Yes;91
Owner;2;570.0958798;Yes;22
Dealer;2;1050.070432;Yes;82
Dealer;2;1785.060417;Yes;390
Owner;2;800;Yes;35
Owner;2;750.0551511;Yes;34
Dealer;2;1129.908619;Yes;91.5
Builder;4;2857.142857;No;120
Dealer;2;896.6801117;Yes;28.9
Owner;2;900.116144;Yes;31
Owner;3;1870.32419;Yes;75
Owner;2;1288.102262;Yes;78.6
Dealer;4;2461.538462;Yes;160
Dealer;2;1066.408143;Yes;22
Dealer;4;4299.996417;Yes;1200
Dealer;2;816.8491699;No;370
Dealer;2;1261.625556;Yes;31.2
Owner;2;1160.092807;Yes;45
Dealer;2;828.7063893;Yes;100
Owner;3;2015.021066;Yes;110
Dealer;3;2765.784114;Yes;67.9
Dealer;2;790.0334245;Yes;26
Builder;3;1358.024691;No;110
Owner;1;850.1594049;Yes;24
Dealer;2;1115.075825;Yes;100
Dealer;1;406.3088686;Yes;110
Dealer;2;1080.080235;Yes;70
Dealer;4;3621.234302;Yes;470
Dealer;6;10050.25126;Yes;1200
Dealer;3;1150.0069;Yes;250
Owner;3;2489.40678;Yes;94
Dealer;3;1894.179894;Yes;53.7
Dealer;4;4000;Yes;140
Dealer;2;1269.146608;Yes;40.6
Owner;4;3458.366587;Yes;260
Builder;2;835.2668213;No;25.2
Owner;2;1185.146168;Yes;90
Dealer;3;1289.872756;Yes;74
Dealer;3;2100;Yes;210
Dealer;4;3167.898627;Yes;150
Owner;4;433333.3333;Yes;65
Builder;2;845.007783;Yes;38
Dealer;1;850;Yes;27.2
Dealer;2;923.0100988;Yes;85
Owner;3;1490.312966;Yes;60
Owner;3;1480.019734;Yes;60
Owner;3;1510.159253;Yes;110
Dealer;1;453.0166793;Yes;66
Dealer;2;999.6079969;No;25.5
Owner;2;1000;Yes;30
Owner;3;1350.135014;Yes;60
Dealer;3;1231.578947;Yes;46.8
Dealer;2;829.8850575;No;36.1
Dealer;2;1069.782752;Yes;32.5
Dealer;1;610.0273241;Yes;96
Dealer;4;2030.205496;Yes;82
Dealer;2;978.7377658;Yes;29
Dealer;3;1503.225806;Yes;46.6
Dealer;2;804.8649615;Yes;45
Owner;3;1400.051854;Yes;54
Dealer;2;1251.091068;Yes;43
Dealer;3;1850.424056;Yes;48
Owner;2;711.0877008;Yes;27
Owner;1;540.0540054;Yes;24
Dealer;2;748;Yes;18.7
Dealer;2;1166.039111;Yes;96
Dealer;2;943.057302;Yes;210
Dealer;3;1700.071582;Yes;190
Dealer;4;2175.202689;Yes;110
Owner;3;2181.818182;Yes;240
Owner;3;1700.071582;Yes;95
Owner;2;1080.246914;Yes;35
Owner;3;1276.127613;Yes;58
Dealer;3;2735.016019;Yes;350
Dealer;2;988.0395216;Yes;190
Dealer;3;935.0788138;Yes;35
Dealer;1;550.0207555;Yes;53
Dealer;2;1094.890511;Yes;51
Dealer;5;6397.725253;Yes;360
Dealer;2;1150.01465;Yes;78.5
Owner;2;936.1348034;Yes;45
Dealer;2;1150.030066;Yes;76.5
Dealer;4;3810.431055;Yes;320
Owner;2;1173.020528;Yes;84
Dealer;4;2541.699762;No;160
Dealer;2;950.1648245;Yes;49
Owner;2;1045.12276;Yes;63
Dealer;3;1969.667126;Yes;100
Dealer;2;930.0661778;Yes;52
Dealer;2;1071.080818;Yes;55
Dealer;3;1400.208986;Yes;67
Dealer;2;1176.470588;No;200
Dealer;4;1925.925926;Yes;130
Owner;2;1053.001053;Yes;30
Owner;2;1051.156272;Yes;45
Dealer;2;988.5365491;Yes;66.4
Dealer;2;1300.034211;Yes;38
Dealer;2;850.0028333;Yes;150
Owner;2;948.6166008;Yes;31.2
Owner;3;1760.198799;Yes;85
Owner;2;850.1259446;Yes;27
Dealer;1;654.9646319;Yes;50
Dealer;2;1050.019091;Yes;110
Owner;3;1267.05653;Yes;65
Dealer;3;1150.086256;Yes;40
Dealer;3;844.8442017;Yes;26.3
Dealer;2;1075.268817;Yes;100
Dealer;2;1016.191315;Yes;150
Dealer;3;900.3760394;No;170
Dealer;3;2058.11138;Yes;170
Dealer;4;6000;Yes;750
Dealer;2;950.1187648;Yes;36
Owner;3;2015.983872;Yes;280
Owner;2;749.4004796;Yes;12.5
Dealer;4;3045.878546;Yes;160
Dealer;2;1303.707063;Yes;230
Dealer;2;936.0223873;Yes;97
Dealer;2;1100.375738;Yes;20.5
Dealer;2;704.0070843;Yes;31.8
Dealer;3;2000;Yes;130
Dealer;3;1678.657074;Yes;63
Dealer;1;411.1662322;No;48.9
Owner;2;950.0285009;Yes;50
Dealer;5;4787.552364;Yes;480
Owner;1;630.2521008;Yes;13.5
Dealer;3;1823.154057;Yes;160
Owner;3;2250.692521;Yes;65
Owner;3;1399.941055;Yes;190
Owner;3;1635.055592;Yes;100
Dealer;3;1896.878772;Yes;110
Dealer;3;1600;Yes;250
Dealer;3;1447.054818;Yes;85
Owner;3;1640.112465;Yes;70
Dealer;2;1110.053917;Yes;70
Dealer;4;3333.333333;Yes;250
Dealer;3;2708.070049;Yes;300
Owner;1;410.0461302;Yes;16
Dealer;3;1512.401694;Yes;100
Dealer;2;912.0620202;Yes;120
Dealer;2;795.097423;Yes;25.3
Builder;1;443.5607219;No;29
Dealer;3;1350.121359;Yes;44.5
Dealer;4;4000;Yes;400
Dealer;3;4769.230769;Yes;310
Owner;3;1897.278651;Yes;99
Dealer;1;705.0092764;Yes;57
Dealer;3;1510.989011;Yes;110
Dealer;2;643.8113633;Yes;120
Owner;2;1100.208147;Yes;37
Dealer;1;650.0691563;Yes;47
Dealer;1;502.6315789;No;19.1
Dealer;2;999.6895374;Yes;64.4
Dealer;1;628.9308176;No;37
Owner;3;1050.228311;Yes;23
Dealer;2;1225.186104;Yes;79
Dealer;3;1473.005999;Yes;66.3
Owner;2;1250;Yes;24
Owner;3;1614.797416;Yes;55
Owner;1;533.0243337;Yes;23
Dealer;4;2754.820937;Yes;470
Dealer;2;772.4137931;Yes;22.4
Owner;2;900.116144;Yes;31
Dealer;1;674.9662517;Yes;45
Dealer;3;1773.049645;Yes;120
Owner;3;1200;Yes;45
Dealer;3;2015.503876;Yes;78
Owner;2;1075.05864;Yes;55
Dealer;3;1190.322581;Yes;36.9
Dealer;3;1220.886551;Yes;65
Dealer;2;1199.944189;Yes;86
Dealer;3;1700.15456;Yes;110
Owner;2;875.1608752;Yes;34
Dealer;3;1518.151815;Yes;92
Dealer;1;739.9817851;Yes;65
Dealer;1;389.5585889;No;87.9
Owner;2;1350.154936;Yes;61
Dealer;3;1679.966401;Yes;120
Dealer;5;5873.586394;Yes;670
Dealer;2;1044.045677;Yes;160
Dealer;3;1350.024546;Yes;55
Dealer;3;1954.686806;Yes;88
Dealer;2;1500;Yes;48
Dealer;2;1192.307692;Yes;62
Owner;3;1000;Yes;40
Dealer;3;1556.247221;No;35
Dealer;2;514.9738552;No;130
Dealer;2;1072.194425;Yes;30
Dealer;3;1626.898048;Yes;180
Owner;2;700.1647446;Yes;17
Dealer;3;1336.184773;Yes;78.1
Owner;1;535.0028458;Yes;47
Dealer;2;882.0536017;Yes;78
Dealer;2;650.0397984;Yes;49
Dealer;3;1370.07874;Yes;87
Dealer;3;1930.235765;Yes;140
Dealer;2;730.8254481;No;190
Dealer;3;1000;Yes;94
Owner;2;650.0956023;Yes;17
Dealer;3;2258.512856;Yes;130
Dealer;3;2026.929202;Yes;140
Dealer;1;414.7619048;Yes;87.1
Owner;3;1495.35923;Yes;43.5
Dealer;2;800;Yes;13
Dealer;3;1821.125051;Yes;90
Dealer;2;940.8075265;Yes;120
Owner;2;1250;Yes;52
Owner;2;1209.816799;Yes;35
Dealer;1;550.017188;Yes;32
Dealer;2;1150;Yes;23
Dealer;2;1225.201072;Yes;45.7
Dealer;1;408.997955;Yes;70
Dealer;3;2685.861624;Yes;500
Dealer;1;498.8873735;Yes;69.5
Owner;1;666.0088801;Yes;13.5
Dealer;2;1110.045224;Yes;81
Owner;1;950.3239741;Yes;22
Owner;2;1349.325337;Yes;45
Dealer;2;530.2378905;No;55.5
Owner;2;1200.274348;Yes;35
Dealer;3;1599.680064;Yes;240
Dealer;2;1163.636364;Yes;160
Dealer;3;113785.558;No;7280
Dealer;3;2241.010492;Yes;220
Owner;2;942.0022165;Yes;51
Builder;1;301.9171163;No;26.3
Dealer;2;900.090009;Yes;40
Dealer;4;2674.956622;No;92.5
Dealer;2;852.9776675;Yes;110
Dealer;3;2106.897316;Yes;190
Dealer;4;3495.947879;Yes;220
Dealer;2;1600.134748;Yes;95
Dealer;3;1326.963907;Yes;75
Dealer;3;1505.011565;Yes;97.6
Dealer;2;1296.111665;Yes;78
Dealer;4;3501.361641;Yes;630
Dealer;2;1400.147384;Yes;76
Dealer;1;661.9632436;Yes;76
Dealer;3;2070.0207;Yes;690
Owner;1;284.0012622;Yes;9
Dealer;2;1299.89295;Yes;85
Owner;3;1300.131062;Yes;49.6
Dealer;2;1165.13904;Yes;75
Dealer;2;1135.241856;Yes;46
Dealer;3;1645.141451;Yes;53.5
Dealer;4;2141.46658;Yes;66
Dealer;3;1777.975331;No;160
Dealer;2;947.6389335;Yes;29.5
Owner;3;1100.196464;Yes;28
Dealer;2;1273.828413;Yes;570
Dealer;2;797.0849465;Yes;35
Owner;2;823.0452675;Yes;34
Owner;2;630.1502666;Yes;13
Owner;3;1300.284437;Yes;32
Dealer;3;1785.469029;Yes;130
Dealer;3;1995.609659;Yes;100
Dealer;4;3750.161645;Yes;290
Dealer;3;1724.137931;Yes;34
Dealer;3;1699.346405;Yes;26
Owner;2;1270.417423;Yes;35
Owner;1;675.0392465;Yes;43
Dealer;3;1625.282167;Yes;72
Owner;3;1655.878368;Yes;110
Owner;3;1650.252861;Yes;62
Dealer;1;650.1011268;Yes;22.5
Owner;4;1750.051472;Yes;85
Owner;3;1400;Yes;51.8
Dealer;3;1877.410189;Yes;370
Dealer;2;1150.190114;Yes;48.4
Dealer;3;1767.352185;Yes;110
Dealer;2;800.1361934;Yes;23.5
Dealer;3;1250;Yes;45
Owner;1;609.0764331;Yes;15.3
Owner;2;2000;Yes;60
Dealer;3;1250;Yes;45
Dealer;2;954.7934528;Yes;24.5
Dealer;1;453.0011325;No;64
Dealer;2;550.0442;Yes;56
Dealer;3;2051.158301;Yes;85
Dealer;3;2501.924557;Yes;130
Owner;2;1159.243441;Yes;38
Owner;2;940.2914904;Yes;20
Dealer;3;1750.087504;Yes;200
Dealer;3;1474.993653;Yes;58.1
Owner;2;800;Yes;25
Dealer;3;1678.947368;Yes;63.8
Dealer;4;2171.612103;Yes;1190
Dealer;1;675.024108;Yes;42
Dealer;2;1302.241066;Yes;43
Owner;2;1166.180758;Yes;60
Owner;2;549.7771174;Yes;18.5
Owner;3;1399.825022;Yes;48
Dealer;2;1176.683563;Yes;130
Dealer;3;1282.568807;Yes;69.9
Owner;3;1609.834626;Yes;110
Owner;1;675.1687922;Yes;9
Dealer;3;1950.078003;Yes;350
Dealer;3;1650;Yes;52.8
Dealer;2;1223.380154;Yes;27
Dealer;2;1250;Yes;41
Dealer;3;1183.522902;Yes;38.5
Dealer;3;1960.01568;Yes;50
Owner;5;2700.096432;Yes;56
Dealer;2;980.3921569;Yes;23.5
Dealer;2;1195.652174;Yes;110
Owner;2;900.297619;Yes;24.2
Owner;3;1328.273245;Yes;42
Dealer;2;1125.112511;Yes;100
Dealer;2;830.2364197;Yes;210
Owner;2;1554.118018;Yes;98.5
Owner;1;449.7354497;Yes;10.2
Owner;3;1210.084034;Yes;36
Dealer;3;1800.288046;Yes;75
Dealer;2;958.9041096;Yes;140
Dealer;4;4800;Yes;4500
Dealer;2;1350.0135;Yes;150
Owner;2;949.9136442;Yes;22
Dealer;3;1040.041602;Yes;180
Dealer;3;1449.781659;Yes;83
Dealer;2;1350.135014;Yes;60
Dealer;3;1579.809004;Yes;57.9
Dealer;3;1489.489489;Yes;24.8
Owner;2;750.0610799;Yes;30.7
Dealer;3;1419.656786;Yes;45.5
Dealer;4;4095.252541;Yes;270
Owner;2;750;Yes;18
Dealer;2;883.4442547;No;300
Dealer;2;910.8108108;Yes;33.7
Owner;4;2526.595745;Yes;95
Dealer;4;5000;Yes;550
Dealer;3;1559.004948;Yes;230
Dealer;3;1553.139561;Yes;70
Dealer;2;1207.200847;Yes;68.4
Owner;3;1400;Yes;70
Dealer;3;1347.708895;Yes;100
Dealer;4;2728.264824;Yes;150
Dealer;4;2705.882353;Yes;230
Dealer;4;1429.272351;No;670
Dealer;1;716.0268129;Yes;94
Owner;3;1420.051122;Yes;50
Dealer;2;970.042796;Yes;68
Dealer;4;3899.835796;Yes;380
Owner;2;900.090009;Yes;30
Owner;2;1264.450867;Yes;35
Dealer;3;1850.124378;Yes;59.5
Dealer;2;1070.079731;Yes;51
Owner;2;840.1344215;Yes;35
Dealer;3;2280.068402;Yes;120
Dealer;3;1671.681712;Yes;100
Owner;6;3200.189641;Yes;270
Dealer;2;722.0216606;Yes;180
Dealer;2;1300.027858;Yes;140
Owner;2;1069.93737;Yes;41
Dealer;3;1773.144914;Yes;330
Dealer;1;617.9671647;No;33.5
Dealer;1;715.0153218;Yes;49
Owner;3;1352.169526;Yes;67
Owner;2;1199.637845;Yes;53
Dealer;2;1363.109049;Yes;47
Dealer;2;802.572041;Yes;33.7
Owner;2;950.1187648;Yes;24
Dealer;2;1217.161984;Yes;120
Dealer;2;1050.052503;Yes;30
Dealer;2;1073.878628;Yes;40.7
Dealer;1;609.9916634;Yes;300
Owner;2;777.1073322;Yes;42.5
Owner;2;900.0692361;Yes;39
Owner;2;900.0473709;Yes;38
Dealer;2;1079.913607;Yes;20
Owner;3;1565.55773;Yes;40
Dealer;2;950.0777336;Yes;110
Dealer;3;1474.080747;Yes;180
Owner;2;1250;Yes;68
Dealer;2;987.2159091;Yes;27.8
Owner;3;963.2751355;Yes;32
Dealer;3;1350.135014;Yes;30
Owner;2;1085.169352;Yes;66
Dealer;2;1187.172371;Yes;77
Dealer;3;1800;Yes;270
Dealer;1;450;Yes;18
Dealer;3;1610.087294;Yes;83
Owner;3;1600;Yes;60
Dealer;2;875.8683177;Yes;58
Owner;3;1825.047199;Yes;58
Dealer;2;750.0340925;Yes;55
Dealer;2;1050.130672;Yes;44.2
Dealer;2;1276.190476;Yes;40.2
Owner;2;1050.098447;Yes;48
Dealer;2;800;Yes;44
Owner;1;677.2009029;Yes;21
Builder;3;134884.5664;No;7420
Dealer;1;453.0011325;Yes;68
Dealer;2;1118.864852;Yes;48.1
Dealer;3;1675.312786;Yes;54.9
Owner;2;989.927058;Yes;57
Dealer;4;3200;Yes;320
Dealer;2;932.9149351;Yes;110
Dealer;2;1151.271754;Yes;43
Dealer;2;1277.013752;Yes;65
Dealer;3;1609.340486;Yes;51
Owner;3;1305.142261;Yes;100
Dealer;5;4995.004995;Yes;600
Dealer;2;800;Yes;160
Dealer;2;1130.00932;Yes;97
Dealer;2;960.0529684;Yes;87
Dealer;3;1574.590606;Yes;87.5
Dealer;2;917.1252293;Yes;55
Owner;2;780.3790412;Yes;14
Dealer;1;690.0212314;Yes;52
Builder;2;852.4137931;No;30.9
Dealer;2;816.1044614;Yes;22.5
Dealer;1;828.0621047;No;72
Dealer;2;1236.009064;Yes;180
Owner;2;1135.159679;Yes;75
Dealer;2;1050.030883;Yes;68
Dealer;3;1847.187238;Yes;110
Dealer;3;2182.684225;Yes;77.9
Dealer;3;1750.028226;Yes;310
Owner;3;800;Yes;60
Dealer;3;1529.79066;Yes;190
Dealer;3;1018.387553;Yes;180
